   #time        bulkEdge        monoEdge    contactAngle   dropletHeight       avgRadius       avgDipole            MSDx            MSDy            MSDz          MSDavg       frameFlux          dMe_dt           nMono           chi2s
00000000       22.818999       -1.000000       -0.436474       37.432446       11.126382       -0.001115     1064.385077     1657.685953     3603.290407     2108.453812               1       -0.200000               1        0.000000
00010000        4.923494       11.191509       -0.973382       43.392935        9.038568       -0.005391     1006.996939     1666.879207     4015.656792     2229.844313              76        2.438302              77        0.000000
00020000       13.266003       25.058718       -0.773817       38.150488       10.239462        0.002189     1045.208357     1697.578471     4691.155062     2477.980630             117        2.773442             194        0.000000
00030000       24.624149       32.107781       -0.218558       31.749367       12.569994        0.002895     1116.002129     1727.752703     5056.619500     2633.458111              36        1.409813             230        0.000000
00040000       30.134708       37.795657        0.096943       28.342141       13.792220       -0.015076     1165.287872     1745.720315     5239.759243     2716.922477              53        1.137575             283        0.000000
00050000       33.691108       41.223404        0.289520       26.007901       15.101932       -0.005894     1223.384397     1782.959535     5381.406501     2795.916811              23        0.685549             306        0.000000
00060000       36.181686       45.363599        0.413260       24.313120       16.125683       -0.010897     1275.984094     1801.608191     5464.064533     2847.218940              13        0.828039             319        0.000000
00070000       37.597495       47.283311        0.470304       23.566742       16.955591       -0.013829     1332.515913     1822.729983     5519.134372     2891.460089              19        0.383942             338        0.000000
00080000       39.580236       53.383895        0.551787       22.271824       17.863038       -0.005234     1392.889116     1838.976711     5621.284004     2951.049944              33        1.220117             371        0.000000
00090000       40.036193       57.479849        0.575281       21.788585       18.208180       -0.007426     1424.017705     1857.734666     5665.265712     2982.339361              41        0.819191             412        0.000000
00100000       39.999213       58.090058        0.589190       21.336875       18.835221       -0.013376     1470.953457     1874.546374     5689.750926     3011.750252               2        0.122042             414        0.000000
00110000       40.726400       59.282680        0.610718       21.021571       18.910360       -0.018061     1483.070822     1888.615429     5708.351138     3026.679130              34        0.238524             448        0.000000
00120000       39.364321       61.621999        0.583976       21.173788       19.203517       -0.016479     1517.647073     1906.703314     5724.211322     3049.520569             -22        0.467864             426        0.000000
00130000       40.242328       62.075546        0.605742       20.940480       19.604396       -0.015544     1546.579248     1924.813767     5735.030255     3068.807757               8        0.090710             434        0.000000
00140000       41.821188       63.688969        0.653424       20.147130       20.144517       -0.018785     1585.850503     1928.402526     5779.801591     3098.018207               1        0.322685             435        0.000000
00150000       43.081425       64.262341        0.680366       19.789490       20.370134       -0.020616     1599.962679     1950.937003     5793.181126     3114.693602              31        0.114674             466        0.000000
00160000       42.749658       66.154067        0.680579       19.637378       20.583350       -0.014344     1624.419141     1971.070886     5812.818718     3136.102915              12        0.378345             478        0.000000
00170000       44.227936       68.327607        0.716432       18.976797       21.744807       -0.019463     1689.173346     1997.807894     5857.173310     3181.384850             -23        0.434708             455        0.000000
00180000       45.713918       68.451013        0.744408       18.498372       21.940442       -0.017930     1699.884992     2032.473819     5885.846153     3206.068321              54        0.024681             509        0.000000
00190000       45.368116       69.250394        0.745405       18.327172       22.719288       -0.021209     1751.265160     2062.057642     5872.740660     3228.687821             -93        0.159876             416        0.000000
00200000       45.561678       70.415818        0.757445       17.926376       23.267254       -0.016846     1795.848836     2074.720616     5931.847288     3267.472247             121        0.233085             537        0.000000
00210000       45.932786       73.759793        0.766276       17.708794       23.359765       -0.022294     1813.852841     2085.183840     5957.035870     3285.357517              19        0.668795             556        0.000000
00220000       48.155097       74.649615        0.798842       17.103292       23.921890       -0.027088     1844.902536     2105.399189     5966.867752     3305.723159             -26        0.177964             530        0.000000
00230000       49.856148       74.433288        0.820369       16.661351       24.407945       -0.018473     1878.526567     2121.393404     5980.069305     3326.663092               9       -0.043266             539        0.000000
00240000       49.169146       75.256753        0.814357       16.727901       24.673581       -0.011718     1906.686268     2147.151409     6006.465392     3353.434357              38        0.164693             577        0.000000
00250000       51.846078       76.468290        0.842944       16.135184       25.542963       -0.021784     1969.107729     2163.134646     6023.734869     3385.325748             -16        0.242307             561        0.000000
00260000       53.278042       75.343636        0.858274       15.713565       26.045879       -0.023999     2012.404412     2186.056130     6032.444941     3410.301827             -12       -0.224931             549        0.000000
00270000       55.050983       77.503489        0.871264       15.439349       26.751041       -0.023148     2091.515063     2209.719475     6057.855863     3453.030134              -1        0.431971             548        0.000000
00280000       52.971117       80.671649        0.861030       15.475129       26.806349       -0.017214     2117.333633     2229.386640     6058.129444     3468.283239              27        0.633632             575        0.000000
00290000       53.677820       80.727319        0.866306       15.366759       27.187119       -0.021863     2154.202393     2250.396082     6062.762873     3489.120449              -5        0.011134             570        0.000000
00300000       54.376490       81.439865        0.871120       15.270959       27.521986       -0.017826     2216.476079     2274.714675     6081.682924     3524.291226              20        0.142509             590        0.000000
00310000       55.057691       83.283274        0.880168       14.899729       27.802292       -0.016897     2277.607718     2292.977846     6093.630363     3554.738642              -9        0.368682             581        0.000000
00320000       55.886420       84.673220        0.887450       14.647136       28.035324       -0.019583     2347.781025     2309.398645     6106.012614     3587.730761               1        0.277989             582        0.000000
00330000       55.574420       83.960173        0.883444       14.824994       28.547831       -0.022312     2411.779735     2319.364109     6122.090027     3617.744624              31       -0.142610             613        0.000000
00340000       58.869118       85.461703        0.905373       14.119129       28.872506       -0.023124     2473.945691     2341.380806     6137.803309     3651.043269               0        0.300306             613        0.000000
00350000       55.347239       86.076532        0.885205       14.657691       28.530470       -0.016569     2486.989692     2358.634684     6118.456706     3654.693694             -24        0.122966             589        0.000000
00360000       53.312997       86.030826        0.876032       14.704639       28.508702       -0.017572     2514.645047     2383.668401     6115.761404     3671.358284              -9       -0.009141             580        0.000000
00370000       52.583491       86.792154        0.866071       15.087130       28.663482       -0.026255     2566.552151     2392.857602     6120.324855     3693.244869               4        0.152266             584        0.000000
00380000       52.140291       86.021093        0.860939       15.253102       28.415765       -0.021582     2589.506659     2404.268532     6116.806342     3703.527178              16       -0.154212             600        0.000000
