   #time       avgRadius       avgDipole            MSDx            MSDy            MSDz          MSDavg        stepFlux 
00970000       57.804702       -0.261625     1014.442883     1254.157185     2309.089055     1525.896374            3817
00972000       57.827958       -0.261145     1015.310963     1254.324496     2310.409748     1526.681736             -39
00974000       57.841298       -0.260753     1014.885233     1256.869953     2313.989637     1528.581608              30
00976000       57.928472       -0.260985     1019.718981     1259.248593     2309.884589     1529.617388             -34
00978000       58.000004       -0.260939     1024.288893     1260.477655     2311.149025     1531.971858               1
00980000       58.040768       -0.260638     1026.259009     1264.646365     2312.871530     1534.592301              -6
00982000       58.089272       -0.260571     1026.615383     1266.797760     2316.815455     1536.742866              13
00984000       58.159580       -0.260687     1029.367011     1272.164825     2314.226169     1538.586002             -38
00986000       58.168439       -0.260732     1030.202573     1271.168497     2313.212980     1538.194683              13
00988000       58.154712       -0.260818     1031.548107     1271.328621     2313.792076     1538.889601              25
00990000       58.107919       -0.260508     1028.626229     1271.085017     2313.371363     1537.694203              12
00992000       58.045423       -0.260788     1027.831126     1267.096381     2314.142064     1536.356523              -3
00994000       58.140323       -0.260221     1035.309125     1268.126804     2318.097274     1540.511068             -34
00996000       58.125407       -0.260222     1036.234087     1266.954576     2322.051465     1541.746710              37
00998000       58.205672       -0.260203     1039.243353     1270.849535     2322.244031     1544.112306              25
01000000       22.232462       -0.201911      779.473790      716.167458     2391.626725     1295.755991           -3819
