#r/R join leave exchange
0 0.0531313 0.0539891 -0.0738119
0.05 0.054251 0.0534493 0.172902
0.1 0.0542035 0.0538797 0.102123
0.15 0.0537964 0.0538729 0.0424671
0.2 0.0543868 0.0529095 0.273003
0.25 0.0518894 0.0525338 -0.0434783
0.3 0.0501317 0.050081 0.057634
0.35 0.0496905 0.0490015 0.151668
0.4 0.0471185 0.0473344 0.0151668
0.45 0.0454218 0.0471567 -0.211325
0.5 0.0449332 0.0447244 0.0758342
0.55 0.0416621 0.042053 -0.016178
0.6 0.0392394 0.0397846 -0.041456
0.65 0.0377531 0.0374343 0.0849343
0.7 0.0341427 0.0338132 0.082912
0.75 0.031116 0.0316542 -0.0485339
0.8 0.0280078 0.0277393 0.0677452
0.85 0.0259922 0.0253548 0.120324
0.9 0.0229518 0.0237082 -0.0889788
0.95 0.0202712 0.0203467 0.0091001
1 0.0197215 0.019151 0.104146
1.05 0.0183031 0.0177572 0.09909
1.1 0.0168033 0.0169168 0
1.15 0.0167558 0.0163429 0.0778564
1.2 0.015351 0.0156734 -0.0323559
1.25 0.0156225 0.0156392 0.0131446
1.3 0.0147334 0.0152566 -0.0626896
1.35 0.0143466 0.0143752 0.0101112
1.4 0.0145502 0.0140268 0.0920121
1.45 0.0137222 0.0140404 -0.033367
